epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8267.92,0.66212,0.36396,0.99707,0.99946,1,0.995,0.90214,0.48879,0.24525,0.88363,0.000363239,0.000363239,0.000363239
81,8368.51,0.64355,0.35482,0.98289,0.99737,0.99701,0.99497,0.89697,0.50382,0.25004,0.89243,0.000346736,0.000346736,0.000346736
82,8469.27,0.64056,0.36001,0.97215,0.99437,1,0.99497,0.90395,0.49476,0.24543,0.88713,0.000330233,0.000330233,0.000330233
83,8570.52,0.6643,0.36973,0.97758,0.99738,0.99982,0.995,0.89454,0.50764,0.25312,0.89908,0.000313729,0.000313729,0.000313729
84,8671.92,0.65934,0.35021,0.99276,0.99946,1,0.995,0.89856,0.48813,0.24452,0.88568,0.000297226,0.000297226,0.000297226
85,8773.4,0.63561,0.36365,0.989,0.99694,1,0.995,0.90423,0.48131,0.23771,0.88285,0.000280723,0.000280723,0.000280723
86,8873.85,0.61692,0.33803,0.98045,0.99689,1,0.995,0.91908,0.46138,0.23368,0.87267,0.00026422,0.00026422,0.00026422
87,8975.88,0.62913,0.35677,0.97434,0.997,1,0.995,0.91704,0.45831,0.2337,0.87229,0.000247716,0.000247716,0.000247716
88,9077.08,0.6293,0.34468,0.98909,1,0.99981,0.995,0.91617,0.44435,0.22596,0.86222,0.000231213,0.000231213,0.000231213
89,9177.19,0.60182,0.33571,0.95229,0.99955,1,0.995,0.91651,0.4445,0.22255,0.8658,0.00021471,0.00021471,0.00021471
90,9277.54,0.58234,0.31129,0.94908,0.99954,1,0.995,0.91741,0.43946,0.21896,0.86052,0.000198206,0.000198206,0.000198206
91,9376.33,0.50937,0.26573,0.90826,0.99906,1,0.995,0.90361,0.46954,0.22983,0.87324,0.000181703,0.000181703,0.000181703
92,9475.32,0.49014,0.25787,0.88918,0.99932,1,0.995,0.90848,0.46234,0.22942,0.86847,0.0001652,0.0001652,0.0001652
93,9574.73,0.48259,0.24961,0.88705,0.99975,1,0.995,0.92023,0.43725,0.22219,0.86072,0.000148696,0.000148696,0.000148696
94,9674.81,0.48885,0.2491,0.88745,0.9998,1,0.995,0.92418,0.4297,0.21501,0.8584,0.000132193,0.000132193,0.000132193
95,9773.87,0.4704,0.24215,0.87521,0.99954,1,0.995,0.92418,0.42976,0.21688,0.86029,0.00011569,0.00011569,0.00011569
96,9872.99,0.471,0.24914,0.89483,0.99958,1,0.995,0.93014,0.41137,0.2132,0.85255,9.91865e-05,9.91865e-05,9.91865e-05
97,9972.71,0.44727,0.23987,0.8874,0.99968,1,0.995,0.92791,0.40526,0.20823,0.84789,8.26832e-05,8.26832e-05,8.26832e-05
98,10071.4,0.43853,0.23645,0.88059,0.99975,1,0.995,0.93472,0.4023,0.20397,0.84504,6.61799e-05,6.61799e-05,6.61799e-05
99,10171,0.43409,0.22679,0.87163,0.99978,1,0.995,0.93403,0.39605,0.20134,0.84229,4.96766e-05,4.96766e-05,4.96766e-05
100,10269.6,0.43757,0.23085,0.88529,0.99979,1,0.995,0.93938,0.39068,0.20033,0.84097,3.31733e-05,3.31733e-05,3.31733e-05
